Date,Crop_Type,Region,Production_Volume_Tonnes,Price_Per_Tonne_USD,Temperature_Celsius,Rainfall_mm
2010-01-01 00:00:00.000000000,Coffee,Embu,981,91.26,34.5,185.7
2010-01-02 00:32:33.030606121,Coffee,Mombasa,881,62.66,33.3,131.6
2010-01-03 01:05:06.061212242,Wheat,Kisii,121,95.66,31.5,23.2
2010-01-04 01:37:39.091818363,Coffee,Mombasa,167,67.51,29.8,3.0
2010-01-05 02:10:12.122424484,Maize,Kisii,271,138.65,33.9,6.1
2010-01-06 02:42:45.153030606,Wheat,Meru,285,121.26,16.8,28.8
2010-01-07 03:15:18.183636727,Beans,Mombasa,245,100.49,19.7,119.3
2010-01-08 03:47:51.214242848,Coffee,Eldoret,210,144.47,33.7,161.6
2010-01-09 04:20:24.244848969,Beans,Kisii,379,81.3,17.4,93.9
2010-01-10 04:52:57.275455091,Sugarcane,Nakuru,538,65.06,28.9,37.1
2010-01-11 05:25:30.306061212,Wheat,Meru,166,67.51,32.5,168.5
2010-01-12 05:58:03.336667333,Sorghum,Mombasa,141,83.16,31.1,8.0
2010-01-13 06:30:36.367273454,Sugarcane,Embu,618,96.73,31.0,62.3
2010-01-14 07:03:09.397879575,Wheat,Muranga,783,62.46,30.3,32.2
2010-01-15 07:35:42.428485697,Sorghum,Kisii,155,103.11,33.5,122.2
2010-01-16 08:08:15.459091818,Rice,Eldoret,395,102.4,32.0,28.6
2010-01-17 08:40:48.489697939,Coffee,Meru,495,90.25,17.7,181.7
2010-01-18 09:13:21.520304060,Sorghum,Nakuru,505,93.76,32.4,171.8
2010-01-19 09:45:54.550910182,Rice,Muranga,811,55.59,25.0,9.3
2010-01-20 10:18:27.581516303,Sugarcane,Eldoret,833,88.3,31.9,71.7
2010-01-21 10:51:00.612122424,Wheat,Meru,239,68.51,26.7,36.9
2010-01-22 11:23:33.642728545,Coffee,Nakuru,614,82.41,18.9,48.2
2010-01-23 11:56:06.673334666,Sugarcane,Kisii,779,65.29,28.2,156.0
2010-01-24 12:28:39.703940788,Rice,Nakuru,892,108.82,16.3,177.2
2010-01-25 13:01:12.734546909,Rice,Meru,119,96.17,18.1,143.1
2010-01-26 13:33:45.765153030,Sorghum,Nakuru,405,127.1,26.5,173.6
2010-01-27 14:06:18.795759151,Beans,Nairobi,703,84.19,25.4,137.4
2010-01-28 14:38:51.826365273,Sorghum,Nakuru,980,89.65,24.9,96.3
2010-01-29 15:11:24.856971394,Sorghum,Nairobi,469,92.58,17.3,28.3
2010-01-30 15:43:57.887577515,Sorghum,Muranga,999,121.96,27.2,87.8
2010-01-31 16:16:30.918183636,Maize,Meru,144,147.33,15.8,60.3
2010-02-01 16:49:03.948789758,Tea,Muranga,266,82.37,31.4,191.8
2010-02-02 17:21:36.979395879,Beans,Eldoret,195,77.13,34.8,126.3
2010-02-03 17:54:10.010002000,Rice,Mombasa,610,149.55,16.0,101.3
2010-02-04 18:26:43.040608121,Sugarcane,Mombasa,256,55.62,29.5,168.4
2010-02-05 18:59:16.071214242,Coffee,Eldoret,953,141.81,27.8,152.6
2010-02-06 19:31:49.101820364,Wheat,Kisii,378,97.8,25.2,78.0
2010-02-07 20:04:22.132426485,Wheat,Kisii,528,79.96,25.3,167.0
2010-02-08 20:36:55.163032606,Sugarcane,Kisii,507,111.99,25.1,18.8
2010-02-09 21:09:28.193638727,Coffee,Embu,892,129.33,15.9,90.0
2010-02-10 21:42:01.224244849,Sugarcane,Muranga,776,51.98,24.2,138.1
2010-02-11 22:14:34.254850970,Sugarcane,Mombasa,153,76.83,21.3,116.2
2010-02-12 22:47:07.285457091,Coffee,Nakuru,952,80.72,34.1,0.9
2010-02-13 23:19:40.316063212,Sugarcane,Nairobi,241,75.31,34.9,182.1
2010-02-14 23:52:13.346669333,Wheat,Meru,361,99.86,22.7,172.8
2010-02-16 00:24:46.377275455,Beans,Nakuru,532,128.15,17.3,42.6
2010-02-17 00:57:19.407881576,Sugarcane,Embu,607,92.91,27.2,147.3
2010-02-18 01:29:52.438487697,Sorghum,Embu,645,71.68,19.3,42.1
2010-02-19 02:02:25.469093818,Sugarcane,Meru,285,133.06,26.3,140.9
2010-02-20 02:34:58.499699939,Sugarcane,Meru,495,72.99,21.0,53.6
2010-02-21 03:07:31.530306061,Sugarcane,Embu,582,85.36,23.2,188.9
2010-02-22 03:40:04.560912182,Rice,Embu,205,113.65,34.0,154.7
2010-02-23 04:12:37.591518303,Maize,Embu,307,55.29,35.0,43.8
2010-02-24 04:45:10.622124425,Wheat,Nakuru,384,129.56,20.2,139.3
2010-02-25 05:17:43.652730546,Wheat,Mombasa,948,107.44,25.4,194.6
2010-02-26 05:50:16.683336667,Sugarcane,Muranga,316,65.71,27.7,22.1
2010-02-27 06:22:49.713942788,Coffee,Eldoret,545,113.26,22.6,184.7
2010-02-28 06:55:22.744548909,Beans,Nairobi,730,94.3,33.7,18.0
