Date,Crop_Type,Region,Market_Price_Per_Tonne_USD
2023-09-10,Sugarcane,Nairobi,137.36
2017-05-10,Wheat,Meru,148.99
2018-07-18,Sorghum,Muranga,155.39
2018-02-04,Beans,Nakuru,51.88
2017-12-31,Tea,Kisii,145.56
2023-06-20,Tomatoes,Kiambu,67.01
2019-06-27,Beans,Embu,87.67
2020-12-09,Sugarcane,Uasin Gishu,81.46
2016-04-11,Sorghum,Meru,121.02
2018-05-23,Maize,Nairobi,111.75
2015-11-27,Potatoes,Muranga,53.09
2019-01-22,Tomatoes,Kiambu,133.94
2020-11-05,Tomatoes,Nairobi,92.76
2023-09-07,Beans,Meru,40.27
2022-12-29,Sugarcane,Uasin Gishu,89.74
2015-05-11,Maize,Nakuru,101.96
2019-08-13,Cabbage,Kiambu,48.26
2017-02-08,Sorghum,Uasin Gishu,58.14
2021-07-19,Cabbage,Muranga,159.23
2019-02-24,Potatoes,Kisii,144.54
2022-10-24,Maize,Meru,56.0
2021-08-30,Maize,Muranga,109.64
2018-04-30,Sorghum,Nakuru,85.51
2017-08-13,Coffee,Uasin Gishu,105.25
2021-05-13,Cabbage,Kericho,96.46
2018-03-30,Wheat,Nakuru,45.78
2016-04-04,Tomatoes,Nandi,77.85
2015-01-22,Coffee,Kiambu,55.06
2021-04-19,Wheat,Kisii,98.68
2017-01-17,Sugarcane,Meru,148.88
2022-12-14,Sorghum,Embu,159.46
2016-04-19,Sugarcane,Uasin Gishu,153.31
2017-12-18,Tomatoes,Kericho,158.28
2022-01-02,Tea,Embu,41.83
2020-08-09,Wheat,Kiambu,127.53
2022-07-10,Coffee,Kiambu,72.75
2017-09-02,Wheat,Meru,143.87
2019-12-12,Wheat,Kericho,137.65
2015-07-09,Sorghum,Kiambu,90.84
2023-03-25,Sugarcane,Embu,96.79
2022-06-27,Cabbage,Kericho,71.81
2023-03-25,Tea,Embu,74.66
2016-07-16,Sorghum,Nakuru,157.74
2020-03-14,Potatoes,Muranga,146.66
2018-06-21,Sorghum,Kericho,63.02
2022-11-19,Tomatoes,Nairobi,73.06
2019-03-09,Tea,Muranga,53.04
2023-10-08,Maize,Muranga,158.66
2016-10-08,Potatoes,Kericho,148.87
2020-08-30,Beans,Kisii,106.25
2022-11-28,Sorghum,Kiambu,123.15
2021-01-23,Wheat,Nakuru,129.75
2018-07-21,Cabbage,Kisii,64.46
2021-09-01,Maize,Kisii,152.16
2016-08-23,Sorghum,Nairobi,103.21
2021-06-21,Sorghum,Uasin Gishu,51.09
2020-08-23,Coffee,Kericho,87.65
2015-08-30,Coffee,Embu,112.2
2020-08-03,Maize,Kiambu,82.34
2022-09-25,Sugarcane,Kisii,123.9
2022-02-25,Coffee,Nakuru,145.85
2023-01-24,Wheat,Uasin Gishu,132.63
2018-09-25,Potatoes,Nairobi,117.12
2020-11-09,Beans,Nandi,101.46
2018-10-22,Tea,Kiambu,70.54
2023-03-23,Beans,Nandi,94.59
2019-01-18,Beans,Muranga,75.15
2021-12-31,Tea,Kisii,152.08
2017-02-14,Coffee,Meru,148.88
2015-02-04,Maize,Kiambu,58.7
2021-03-03,Tea,Embu,138.71
2023-08-19,Tomatoes,Uasin Gishu,124.35
2020-05-09,Sugarcane,Nakuru,157.03
2019-05-05,Potatoes,Kiambu,95.6
2023-06-01,Cabbage,Embu,126.66
2017-10-18,Coffee,Kericho,102.15
2022-02-26,Sugarcane,Nandi,48.33
2018-02-03,Tea,Kericho,45.61
2019-02-09,Tomatoes,Uasin Gishu,54.65
2016-12-03,Cabbage,Nairobi,75.54
2021-09-15,Potatoes,Kisii,71.09
2022-08-09,Potatoes,Kiambu,127.4
2019-04-29,Coffee,Meru,125.91
2015-06-11,Tea,Nandi,156.57
2015-07-21,Sugarcane,Nandi,77.25
2020-06-04,Maize,Kiambu,152.61
2017-09-22,Sugarcane,Muranga,113.54
2021-05-06,Sugarcane,Kericho,99.44
2017-03-26,Potatoes,Nandi,120.14
2016-03-31,Maize,Embu,124.33
2018-06-29,Maize,Nakuru,60.63
2017-10-13,Coffee,Kisii,130.21
2021-06-01,Cabbage,Nandi,127.02
2022-07-30,Sorghum,Embu,159.7
2015-12-04,Beans,Uasin Gishu,149.43
2017-05-28,Beans,Uasin Gishu,122.16
2017-12-12,Potatoes,Kisii,125.48
2017-03-02,Sorghum,Muranga,153.52
2021-03-14,Cabbage,Meru,156.06
2017-02-02,Sorghum,Kisii,139.24
2021-02-13,Coffee,Nairobi,132.09
2016-01-15,Sugarcane,Muranga,53.36
2016-05-07,Potatoes,Nandi,139.64
2023-07-10,Maize,Kisii,70.38
2018-03-26,Potatoes,Kericho,107.65
2020-08-24,Beans,Uasin Gishu,88.64
2015-03-06,Cabbage,Embu,81.47
2022-01-12,Sorghum,Kisii,77.23
2018-09-29,Cabbage,Kericho,142.65
2018-02-26,Coffee,Muranga,132.3
2020-07-20,Potatoes,Nairobi,102.81
2022-05-19,Tea,Embu,119.74
2019-02-04,Potatoes,Nakuru,158.14
2023-08-01,Maize,Nairobi,87.7
2018-03-08,Potatoes,Nandi,106.13
2019-03-03,Tomatoes,Kericho,104.02
2022-03-25,Coffee,Kisii,152.32
2016-01-27,Wheat,Kisii,82.19
2019-08-26,Coffee,Kiambu,158.35
2016-02-23,Sorghum,Uasin Gishu,76.56
2021-05-25,Wheat,Nandi,53.07
2016-01-14,Sorghum,Kericho,62.96
2019-12-02,Sorghum,Kisii,91.15
2021-03-28,Maize,Nakuru,117.97
2023-05-24,Maize,Embu,102.02
2020-09-19,Sugarcane,Nandi,85.15
2023-06-27,Beans,Muranga,107.44
2020-12-22,Sugarcane,Nakuru,140.66
2015-07-20,Sugarcane,Embu,140.67
2020-02-07,Beans,Meru,127.15
2017-02-18,Tea,Uasin Gishu,154.29
2023-02-25,Wheat,Nandi,110.82
2023-07-02,Cabbage,Kericho,40.92
2023-07-17,Sugarcane,Nairobi,74.91
2016-05-17,Potatoes,Embu,79.39
2021-09-20,Potatoes,Muranga,105.68
2019-10-18,Sorghum,Kisii,148.59
2017-03-15,Beans,Nairobi,140.57
2020-11-16,Sorghum,Nakuru,67.86
2022-06-24,Tomatoes,Uasin Gishu,102.33
2020-03-10,Tomatoes,Kericho,119.1
2022-08-05,Cabbage,Nairobi,158.5
2019-04-20,Maize,Muranga,43.76
2017-08-18,Maize,Embu,95.67
2022-04-14,Beans,Kericho,158.57
2019-01-25,Beans,Meru,157.26
2022-05-14,Sugarcane,Kisii,79.69
2017-10-25,Tomatoes,Uasin Gishu,40.0
2016-05-17,Sugarcane,Nairobi,110.41
2022-09-15,Maize,Uasin Gishu,144.03
2016-02-02,Wheat,Uasin Gishu,78.92
2017-05-20,Wheat,Uasin Gishu,152.11
2022-10-13,Beans,Embu,79.92
2016-01-28,Sorghum,Uasin Gishu,113.22
2015-07-26,Maize,Meru,126.65
2017-11-04,Wheat,Nakuru,81.45
2020-02-25,Maize,Muranga,82.26
2023-01-18,Coffee,Kericho,96.4
2019-01-24,Potatoes,Meru,140.23
2017-05-13,Tomatoes,Kericho,52.1
2022-08-22,Sugarcane,Muranga,115.78
2016-07-17,Maize,Nakuru,121.28
2017-10-17,Potatoes,Nandi,106.94
2015-04-06,Coffee,Kericho,152.3
2020-04-07,Sugarcane,Kericho,112.24
2019-10-24,Maize,Nakuru,116.15
2021-12-07,Beans,Nairobi,111.97
2021-03-28,Potatoes,Meru,126.64
2022-08-28,Sugarcane,Nairobi,56.25
2019-08-06,Maize,Nairobi,147.31
2023-11-17,Potatoes,Nairobi,45.1
2016-06-24,Coffee,Uasin Gishu,116.89
2017-11-25,Maize,Kisii,113.86
2022-01-16,Maize,Kericho,64.97
2018-03-29,Maize,Nairobi,44.89
2019-09-19,Cabbage,Meru,56.66
2023-08-24,Beans,Kisii,72.6
2019-12-25,Coffee,Kisii,145.85
2022-03-10,Sugarcane,Nairobi,142.69
2022-06-22,Cabbage,Embu,47.66
2022-02-17,Sorghum,Nairobi,74.71
2019-05-17,Cabbage,Embu,146.72
2023-05-19,Tomatoes,Nairobi,68.4
2022-05-17,Tomatoes,Meru,159.52
2017-03-06,Maize,Embu,70.82
2017-11-17,Cabbage,Uasin Gishu,128.69
2019-07-02,Sorghum,Kisii,90.05
2018-09-25,Cabbage,Nairobi,56.35
2020-06-04,Beans,Kisii,70.62
2018-09-16,Beans,Nairobi,121.01
2019-07-22,Sorghum,Kericho,80.45
2019-03-10,Cabbage,Kericho,112.5
2020-07-31,Potatoes,Kiambu,64.66
2019-02-05,Beans,Nairobi,93.83
2021-02-15,Beans,Kiambu,101.47
2018-11-09,Wheat,Nakuru,89.53
2018-11-01,Cabbage,Nakuru,63.75
2018-07-30,Beans,Kisii,95.39
2022-05-04,Coffee,Embu,123.15
2022-04-29,Cabbage,Nairobi,155.79
2017-08-30,Tomatoes,Muranga,134.74
2019-11-04,Wheat,Nairobi,59.38
2018-07-06,Beans,Nairobi,72.72
2016-12-10,Wheat,Muranga,49.46
2019-01-19,Tomatoes,Nakuru,56.28
2018-12-05,Sorghum,Kiambu,70.08
2016-10-10,Sorghum,Kisii,63.94
2015-11-14,Cabbage,Nakuru,65.64
2018-06-11,Tomatoes,Muranga,67.69
2016-11-14,Tea,Nairobi,76.08
2016-10-25,Tea,Nakuru,55.07
2020-06-21,Cabbage,Meru,73.34
2019-06-20,Maize,Kericho,122.61
2019-02-04,Wheat,Nairobi,68.37
2018-02-10,Wheat,Nandi,60.62
2020-01-28,Sorghum,Muranga,48.12
2019-03-01,Tea,Uasin Gishu,100.0
2021-10-25,Sugarcane,Embu,141.04
2016-07-17,Beans,Uasin Gishu,47.08
2018-07-15,Beans,Nakuru,105.08
2023-09-20,Beans,Nairobi,118.07
2019-06-25,Sorghum,Embu,111.1
2023-03-19,Tomatoes,Embu,145.31
2023-08-19,Potatoes,Kisii,143.97
2016-11-29,Tea,Uasin Gishu,46.88
2020-11-30,Tea,Nairobi,83.31
2015-01-02,Sugarcane,Kisii,120.5
2016-10-03,Wheat,Kiambu,154.29
2021-03-17,Maize,Uasin Gishu,136.56
2019-05-09,Cabbage,Kericho,61.19
2017-05-04,Wheat,Kericho,73.51
2019-10-26,Tomatoes,Kisii,131.63
2021-08-29,Cabbage,Kiambu,96.58
2019-07-20,Tea,Meru,105.68
2018-02-27,Tomatoes,Meru,113.08
2017-12-12,Cabbage,Kericho,52.39
2019-09-04,Sugarcane,Nandi,142.72
2022-08-09,Sugarcane,Muranga,143.58
2019-08-23,Coffee,Muranga,96.19
2019-09-30,Potatoes,Nandi,115.22
2018-12-10,Sugarcane,Kisii,119.19
2021-04-13,Tea,Muranga,62.77
2017-04-15,Maize,Muranga,53.51
2015-07-22,Beans,Uasin Gishu,42.48
2023-11-30,Coffee,Uasin Gishu,149.55
2015-05-03,Beans,Nandi,81.49
2016-02-05,Potatoes,Nairobi,50.3
2017-02-05,Cabbage,Kiambu,95.9
2015-10-21,Sorghum,Kisii,49.08
2021-05-16,Sugarcane,Uasin Gishu,50.23
2023-01-10,Maize,Uasin Gishu,98.67
2015-07-17,Potatoes,Meru,101.06
2023-04-18,Beans,Kiambu,109.62
2020-04-14,Coffee,Meru,118.76
