Date,Region,Avg_Temperature_Celsius,Avg_Rainfall_mm
2010-01-01 00:00:00.000000000,Kisii,31.1,119.6
2010-01-02 00:32:33.030606121,Mombasa,19.4,118.6
2010-01-03 01:05:06.061212242,Embu,28.1,140.7
2010-01-04 01:37:39.091818363,Embu,22.7,68.8
2010-01-05 02:10:12.122424484,Eldoret,30.6,30.7
2010-01-06 02:42:45.153030606,Kisii,33.9,24.2
2010-01-07 03:15:18.183636727,Nairobi,29.7,158.5
2010-01-08 03:47:51.214242848,Mombasa,34.3,102.6
2010-01-09 04:20:24.244848969,Nairobi,16.4,35.8
2010-01-10 04:52:57.275455091,Mombasa,15.6,80.6
2010-01-11 05:25:30.306061212,Nakuru,21.7,121.5
2010-01-12 05:58:03.336667333,Muranga,16.0,153.4
2010-01-13 06:30:36.367273454,Embu,21.3,181.8
2010-01-14 07:03:09.397879575,Embu,30.3,11.5
2010-01-15 07:35:42.428485697,Nairobi,31.2,28.9
2010-01-16 08:08:15.459091818,Embu,21.3,159.2
2010-01-17 08:40:48.489697939,Embu,27.6,121.1
2010-01-18 09:13:21.520304060,Nairobi,30.4,24.7
2010-01-19 09:45:54.550910182,Embu,27.0,119.7
2010-01-20 10:18:27.581516303,Nakuru,24.2,136.6
2010-01-21 10:51:00.612122424,Embu,21.1,18.1
2010-01-22 11:23:33.642728545,Nakuru,28.3,51.9
2010-01-23 11:56:06.673334666,Eldoret,15.3,44.9
2010-01-24 12:28:39.703940788,Meru,20.3,124.6
2010-01-25 13:01:12.734546909,Kisii,30.1,153.5
2010-01-26 13:33:45.765153030,Kisii,26.1,180.2
2010-01-27 14:06:18.795759151,Nairobi,23.8,116.0
2010-01-28 14:38:51.826365273,Embu,17.7,57.4
2010-01-29 15:11:24.856971394,Nairobi,24.3,97.0
2010-01-30 15:43:57.887577515,Meru,28.7,146.9
2010-01-31 16:16:30.918183636,Embu,15.5,185.7
2010-02-01 16:49:03.948789758,Kisii,31.1,180.9
2010-02-02 17:21:36.979395879,Nairobi,18.0,177.8
2010-02-03 17:54:10.010002000,Nakuru,23.8,57.8
2010-02-04 18:26:43.040608121,Kisii,24.1,1.5
2010-02-05 18:59:16.071214242,Meru,18.6,158.4
2010-02-06 19:31:49.101820364,Mombasa,28.0,70.3
2010-02-07 20:04:22.132426485,Nakuru,15.8,182.3
2010-02-08 20:36:55.163032606,Eldoret,25.8,146.5
2010-02-09 21:09:28.193638727,Eldoret,32.3,174.0
2010-02-10 21:42:01.224244849,Mombasa,22.9,37.5
2010-02-11 22:14:34.254850970,Mombasa,26.4,142.2
2010-02-12 22:47:07.285457091,Nairobi,20.9,37.1
2010-02-13 23:19:40.316063212,Meru,29.6,188.0
2010-02-14 23:52:13.346669333,Nakuru,25.4,0.2
2010-02-16 00:24:46.377275455,Muranga,21.0,95.4
2010-02-17 00:57:19.407881576,Eldoret,27.5,192.6
2010-02-18 01:29:52.438487697,Nakuru,26.5,65.6
2010-02-19 02:02:25.469093818,Eldoret,26.1,81.4
2010-02-20 02:34:58.499699939,Meru,34.8,181.0
2010-02-21 03:07:31.530306061,Kisii,16.9,6.0
2010-02-22 03:40:04.560912182,Eldoret,19.8,56.0
2010-02-23 04:12:37.591518303,Eldoret,30.9,5.4
2010-02-24 04:45:10.622124425,Eldoret,17.3,99.8
2010-02-25 05:17:43.652730546,Muranga,31.0,197.2
2010-02-26 05:50:16.683336667,Muranga,22.7,72.1
2010-02-27 06:22:49.713942788,Kisii,26.5,2.3
2010-02-28 06:55:22.744548909,Nairobi,29.0,112.7
2010-03-01 07:27:55.775155031,Eldoret,32.8,65.2
2010-03-02 08:00:28.805761152,Kisii,22.8,165.6
2010-03-03 08:33:01.836367273,Nakuru,24.9,72.1
2010-03-04 09:05:34.866973394,Kisii,26.6,146.0
2010-03-05 09:38:07.897579516,Kisii,26.9,136.2
2010-03-06 10:10:40.928185637,Kisii,21.8,78.2
2010-03-07 10:43:13.958791758,Mombasa,17.6,78.8
2010-03-08 11:15:46.989397879,Embu,34.8,7.3
2010-03-09 11:48:20.020004000,Nairobi,24.1,55.1
2010-03-10 12:20:53.050610122,Nairobi,29.6,78.8
2010-03-11 12:53:26.081216243,Nakuru,31.3,87.0
2010-03-12 13:25:59.111822364,Muranga,29.8,101.3
2010-03-13 13:58:32.142428485,Embu,27.1,59.1
2010-03-14 14:31:05.173034607,Mombasa,21.5,110.6
2010-03-15 15:03:38.203640728,Nairobi,17.6,175.6
2010-03-16 15:36:11.234246849,Nairobi,29.9,157.3
2010-03-17 16:08:44.264852970,Nairobi,20.7,184.1
2010-03-18 16:41:17.295459091,Nakuru,24.0,175.8
2010-03-19 17:13:50.326065213,Embu,18.2,93.2
2010-03-20 17:46:23.356671334,Nairobi,27.0,38.4
2010-03-21 18:18:56.387277455,Eldoret,19.6,155.2
2010-03-22 18:51:29.417883576,Embu,18.9,158.8
2010-03-23 19:24:02.448489698,Nairobi,24.3,157.3
2010-03-24 19:56:35.479095819,Eldoret,31.0,139.7
2010-03-25 20:29:08.509701940,Eldoret,27.2,60.1
2010-03-26 21:01:41.540308061,Meru,28.1,107.5
2010-03-27 21:34:14.570914182,Muranga,27.0,136.1
2010-03-28 22:06:47.601520304,Kisii,32.9,95.2
2010-03-29 22:39:20.632126425,Kisii,28.1,11.3
2010-03-30 23:11:53.662732546,Meru,28.6,98.4
2010-03-31 23:44:26.693338667,Kisii,24.5,187.6
2010-04-02 00:16:59.723944788,Kisii,23.7,115.2
2010-04-03 00:49:32.754550910,Mombasa,33.2,195.7
2010-04-04 01:22:05.785157031,Meru,27.7,162.1
2010-04-05 01:54:38.815763152,Embu,19.4,46.9
2010-04-06 02:27:11.846369273,Nakuru,25.5,15.5
2010-04-07 02:59:44.876975395,Eldoret,17.6,80.7
2010-04-08 03:32:17.907581516,Eldoret,24.4,51.8
2010-04-09 04:04:50.938187637,Nakuru,19.2,125.0
2010-04-10 04:37:23.968793758,Meru,16.1,59.6
